"","id","study","group","fitness","trait","optimum","sd","optimumtest","samplesize","linear","linear.se","linear.95CI.l","linear.95CI.u","linear.effsamp","linear.pMCMC","quadratic","quadratic.se","quadratic.95CI.l","quadratic.95CI.u","quadratic.effsamp","quadratic.pMCMC"
"175",15,"Ensing, Sora and Eckert (2021)","2014; T1-L","survival to fruiting","gdd.fl.to.mat",0.153807347903695,0.376370500516025,1,2361,0.0112338878579557,0.0247429118801268,-0.0266152731928742,0.0489202686803765,4.14443438597302,0.788,-0.0354725540941358,0.00829612051078743,-0.0578691603222978,-0.0204967459703767,5.57157087425223,0.001
"176",15,"Ensing, Sora and Eckert (2021)","2014; T1-L","survival to fruiting","gdd.to.mat",-0.793611862455959,9.27274549810064,0.923,2361,-0.0219873464831397,0.0349065765305886,-0.0687555717595387,0.0412669202632969,2.0898957961674,0.584,-0.0136403981488832,0.00909680792786399,-0.0291888806896168,0.0118656397376071,13.1063694439286,0.138
"177",15,"Ensing, Sora and Eckert (2021)","2014; T1-MH","survival to fruiting","gdd.to.emerge",-0.541662753650783,3.55361752119034,0.973,1546,4928.06036145473,11300.206696083,-17.7838301523298,33487.5320482286,4.43453447884389,0.032,4898.929193781,10756.2245223126,-86.8198611744301,32770.526587678,4.42043785753084,0.012
"178",15,"Ensing, Sora and Eckert (2021)","2014; T1-MH","survival to fruiting","gdd.emerge.to.fl",0.562845572307608,12.7873860777926,0.886,2340,31.2394085810902,87.2649329972569,-99.7712917849303,258.053510662794,11.5648217215826,0.41,-25.0958343568227,52.4252893750692,-164.454969317652,25.9019443572161,6.76958225591422,0.234
"179",15,"Ensing, Sora and Eckert (2021)","2014; T1-MH","survival to fruiting","gdd.to.fl",-0.107056997865531,0.517102735179481,0.998,4300,0.194316905704541,0.456615819755608,-0.620921701745829,1.26165840798785,46.4142230788298,0.594,0.831617018018546,0.699144372050637,0.104091814049752,2.42216941654806,2.72573290798889,0.001
"180",15,"Ensing, Sora and Eckert (2021)","2014; T1-MH","survival to fruiting","gdd.fl.to.mat",0.504595662876976,53.2166710445199,0.654,2361,0.015761627018593,0.037722677073142,-0.0572574819307192,0.0629904236484435,4.66920245408144,0.552,-0.0122670012022729,0.00965662818699872,-0.0289335338602541,0.00206139539659489,3.04458780985167,0.166
"181",15,"Ensing, Sora and Eckert (2021)","2014; T1-MH","survival to fruiting","gdd.to.mat",-0.140028663414576,0.298970095690816,1,2361,-0.0199200538419754,0.0317794417030709,-0.0659157870395575,0.0403999003465287,3.51972373450635,0.392,-0.053859196783883,0.0138526513343006,-0.0756175475980854,-0.0225527486545616,6.91315907578666,0.001
"182",15,"Ensing, Sora and Eckert (2021)","2014; T1-ML","survival to fruiting","gdd.to.emerge",-0.471741287342882,2.17730057914292,0.981,1546,14349.4926166103,23230.3109553283,-1181.20198898664,69487.968101433,2.54617131939604,0.048,15089.2825065928,23277.6407985322,-388.395602412202,64014.063618971,3.5370299363657,0.00600000000000001
"183",15,"Ensing, Sora and Eckert (2021)","2014; T1-ML","survival to fruiting","gdd.emerge.to.fl",0.459770124196425,22.6811360468865,0.892,2340,168.970959165786,594.09669032638,-695.293682615262,1598.66034360237,43.9969505634742,0.39,-173.400081876079,418.687778934644,-1208.1310807674,310.057630892916,15.5956040850543,0.254
"184",15,"Ensing, Sora and Eckert (2021)","2014; T1-ML","survival to fruiting","gdd.to.fl",-0.106913788113079,2.99278278471642,0.999,4300,0.630130566434721,2.49977383858907,-3.71042166138068,5.74300811092689,41.1013789106034,0.584,3.10858671449191,5.42491753429174,0.00825651291597751,16.880562950857,4.63059624188575,0.001
