Ind_ID,Flower_ID,Stamen_number_func,Stamen_removal,Petal_length,Stalk_height,Flowering_date,Pistil_number,Total_typed_seed,Total_selfed_seed,Mature_seed_number,Relative_RS,Inbreeding_depression,Mature_seed_number_S,Relative_RS_S
146,146_1,197,Intact,3.03,44,148,224,14,13,9,0.165087119,0.95,15.71142854,0.230769244
152,152_1,0,SR100,3.1,42,153,225,4,0,76,1.394069007,0.95,76,1.349112506
156,156_1,88,SR50,2.73,27,153,2,1,0,1,0.018343013,0.95,1,0.01775148
162,162_1,214,Intact,2.93,29,161,5,2,0,5,0.091715066,0.95,5,0.088757402
165,165_1,178,Intact,2.56,45,161,206,8,1,32,0.586976424,0.95,32.13,0.568047371
166,166_1,214,Intact,3,46,161,311,13,0,152,2.788138014,0.95,152,2.698225012
169,169_1,78,SR50,2.93,27,155,71,7,7,2,0.036686026,0.95,4.34,0.053254441
170,170_1,178,Intact,3.33,46,161,284,14,13,13,0.238459172,0.95,22.9628571,0.337278126
171,171_1,209,Intact,3.06,38,153,268,13,11,22,0.403546291,0.95,31.04307694,0.479289969
174,174_1,166,Intact,2.7,39,163,315,10,1,110,2.017731457,0.95,111.508,1.970414318
177,177_1,166,Intact,2.91,37,161,227,13,6,40,0.73372053,0.95,42.81846151,0.745562174
184,184_1,224,Intact,2.47,52,165,367,12,1,166,3.044940199,0.95,167.1000001,2.964497217
185,185_1,183,Intact,2.75,25,165,11,5,1,8,0.146744106,0.95,8.28,0.142011843
186,186_1,0,SR100,2.98,35,161,183,10,0,124,2.274533643,0.95,124,2.201183562
188,188_1,183,Intact,3,39,163,287,12,5,33,0.605319437,0.95,35.29166665,0.603550332
189,189_1,154,Intact,2.8,37,163,144,8,7,5,0.091715066,0.95,6.93,0.106508882
190,190_1,199,Intact,2.9,27,168,343,13,1,74,1.35738298,0.95,74.7076923,1.313609545
192,192_1,68,SR50,2.19,40,168,295,13,1,69,1.265667914,0.95,69.10461538,1.224852143
193,193_1,173,Intact,2.38,31,168,235,14,11,48,0.880464636,0.95,61.28999995,0.976331419
195,195_1,170,Intact,2.7,37,168,281,13,10,39,0.715377517,0.95,48.73846157,0.781065135
196,196_1,192,Intact,2.02,35,168,395,14,0,213,3.907061822,0.95,213,3.781065312
198,198_1,233,Intact,2.56,45,171,247,13,4,81,1.485784073,0.95,83.83384612,1.455621388
200,200_1,245,Intact,2.37,43,171,268,11,7,39,0.715377517,0.95,44.82000003,0.745562174
201,201_1,82,SR50,2.97,45,168,193,14,1,144,2.641393908,0.95,144.5400001,2.556213169
202,202_1,192,Intact,2.71,42,168,193,11,0,53,0.972179702,0.95,53,0.940828458
203,203_1,252,Intact,2.7,33,171,162,14,12,15,0.275145199,0.95,21.02857144,0.319526646
205,205_1,197,Intact,2.57,42,174,153,13,12,18,0.330174238,0.95,30.71692309,0.443787009
591,591_1,185,Intact,2.7,38,157,260,11,3,79,1.449098047,0.95,81.90363634,1.437869908
