id,fr_set,n_seed,fitness,prop_seed_preyed,year,var,skew,kurt,avFD_v,n_fl_std,avFD_std,var_std,skew_std,kurt_std,fitness_rel,n_fl,n_mat_intact_fr,prop_seeds_escpred,n_fl_log,n_fl_log_std,npr_seeds,pr_seeds
1:16,0.5,11,11,0,1987,0.30282662700000007,1.3136578612127249e-15,0.9999999999999996,66.4182,-0.34175832539021356,-0.979138605311135,-0.6036831122610424,-0.56229202870060635,-1.2120660177006837,1.7442447586499767,6,3,1,1.791759469228055,-0.0676478816439698,11,0
1:15,0.25,6,6,0,1987,0.0625,-1.1547005383792517,2.3333333333333335,72.2504,-0.6419338887557624,0.37163951983665405,-1.021030985864257,-2.299552176343779,0.00806151807731649,0.9514062319908964,4,1,1,1.3862943611198906,-0.6101284293024175,6,0
1:17,0.1875,5,5,0,1987,0.7812827518333333,0.5392333233090033,2.0113652859017037,66.47755,1.159119491437531,-0.9653927321024792,0.2271971310322891,0.2489906647159912,-0.28657004215668985,0.7928385266590803,16,3,1,2.772588722239781,1.2446248138188571,5,0
1:18,0,0,0,NA,1987,0.2523573633333334,-0.00572929622248516,1.5,66.42133333333334,-0.7920216704385368,-0.9784129034961312,-0.6913273326977704,-0.5709118203007202,-0.7545181917839333,0,3,0,NA,1.0986122886681098,-0.995024503204607,0,0
1:19,0.2222222222222222,5,4,0.2,1987,0.5074291961111114,-0.33491545646504794,2.2438774929341005,73.51364444444445,0.10850501965810971,0.6642157281748504,-0.24837314008606143,-1.066176157968547,-0.07379913250313308,0.6342708213272642,9,2,0.8,2.1972245773362196,0.4748326660144782,4,1
1:20,0,0,0,NA,1987,0.11240416333333324,-0.7071067811865492,1.5000000000000016,69.97613333333334,-0.7920216704385368,-0.15509647414265226,-0.934368110796676,-1.6261422567500952,-0.7545181917839319,0,3,0,NA,1.0986122886681098,-0.995024503204607,0,0
1:21,0.14285714285714285,13,13,0,1987,1.008147583791209,0.7895094288165854,2.8160356031834235,68.41282857142858,0.8589439280719818,-0.5171687410951444,0.6211674388374664,0.6255339238158282,0.44978026634729446,2.0613801693136087,14,2,1,2.6390573296152584,1.0659702722763522,13,0
1:23,0.2,10,10,0,1987,0.3902065288888889,-0.0976815273436174,2.8068793776149636,68.2884,0.25859280134088414,-0.5459872645389743,-0.4519403915138102,-0.7092550021943015,0.4414014441423902,1.5856770533181606,10,2,1,2.302585092994046,0.6157967812803146,10,0
1:25,0.5,15,15,0,1987,0.2919781224999999,1.1547005383792508,2.333333333333332,69.5083,-0.6419338887557624,-0.2634499313083256,-0.6225224740969241,1.1749681189425611,0.00806151807731527,2.378515579977241,4,2,1,1.3862943611198906,-0.6101284293024175,15,0
1:27,0,0,0,NA,1987,1.1754801379411766,-0.3198390317107875,2.4507463489358683,73.54366666666667,1.4592950548030796,0.6711690838632876,0.9117548220618964,-1.0434935047403078,0.11550565812385497,0,18,0,NA,2.8903717578961645,1.402209287575115,0,0
1:28,0,0,0,NA,1987,0.3774448942857145,-0.3877128823855569,1.9241912606465768,72.5718,-0.0415827620246647,0.4460779974990285,-0.4741020684441656,-1.1456104882569749,-0.36634261362048026,0,8,0,NA,2.0794415416798357,0.31724819225821965,0,0
